Team,Pld,W,D,L,GF,GA,GD,Pts
Manchester City,4,4,0,0,11,2,+9,12
Tottenham Hotspur,4,3,1,0,11,4,+7,10
Liverpool,4,3,1,0,9,3,+6,10
West Ham United,4,3,1,0,9,4,+5,10
Arsenal,4,3,1,0,8,4,+4,10
Brighton & Hove Albion,4,3,0,1,12,6,+6,9
Crystal Palace,4,2,1,1,5,4,+1,7
Brentford,4,1,3,0,8,5,+3,6
Nottingham Forest,4,2,0,2,6,6,0,6
Aston Villa,4,2,0,2,8,9,−1,6
Manchester United,4,2,0,2,5,7,−2,6
Chelsea,4,1,1,2,5,5,0,4
Fulham,4,1,1,2,4,10,−6,4
Newcastle United,4,1,0,3,7,7,0,3
Wolverhampton Wanderers,4,1,0,3,4,8,−4,3
Bournemouth,4,0,2,2,4,8,−4,2
Sheffield United,4,0,1,3,4,7,−3,1
Everton,4,0,1,3,2,8,−6,1
Luton Town,3,0,0,3,2,9,−7,0
Burnley,3,0,0,3,3,11,−8,0
