HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,Referee
Burnley,Man_City,0,3,A,6,17,C Pawson
Arsenal,Nottingham_Forest,2,1,H,15,6,M Oliver
Bournemouth,West_Ham,1,1,D,14,16,P Bankes
Brighton,Luton,4,1,H,27,9,D Coote
Everton,Fulham,0,1,A,19,9,S Attwell
Sheffield_United,Crystal_Palace,0,1,A,8,24,J Brooks
Newcastle,Aston_Villa,5,1,H,17,16,A Madley
Brentford,Tottenham,2,2,D,11,18,R Jones
Chelsea,Liverpool,1,1,D,10,13,A Taylor
Man_United,Wolves,1,0,H,15,23,S Hooper
Nottingham_Forest,Sheffield_United,2,1,H,16,7,P Bankes
Fulham,Brentford,0,3,A,10,17,D Bond
Liverpool,Bournemouth,3,1,H,26,13,T Bramall
Wolves,Brighton,1,4,A,16,16,A Madley
Tottenham,Man_United,2,0,H,17,22,M Oliver
Man_City,Newcastle,1,0,H,14,7,R Jones
Aston_Villa,Everton,4,0,H,13,9,A Taylor
West_Ham,Chelsea,3,1,H,12,17,J Brooks
Crystal_Palace,Arsenal,0,1,A,14,14,D Coote
Chelsea,Luton,3,0,H,19,11,R Jones
Bournemouth,Tottenham,0,2,A,11,17,T Robinson
Arsenal,Fulham,2,2,D,19,8,P Tierney
Brentford,Crystal_Palace,1,1,D,12,15,P Bankes
Everton,Wolves,0,1,A,15,11,C Pawson
Man_United,Nottingham_Forest,3,2,H,18,9,S Attwell
Brighton,West_Ham,1,3,A,25,12,A Taylor
Burnley,Aston_Villa,1,3,A,9,16,M Salisbury
Sheffield_United,Man_City,1,2,A,6,30,J Gillett
Newcastle,Liverpool,1,2,A,23,9,J Brooks
Luton,West_Ham,1,2,A,16,9,P Tierney
Sheffield_United,Everton,2,2,D,13,16,A Madley
Brentford,Bournemouth,2,2,D,21,12,R Madley
Burnley,Tottenham,2,5,A,16,20,D England
Chelsea,Nottingham_Forest,0,1,A,21,7,T Robinson
Man_City,Fulham,5,1,H,7,6,M Oliver
Brighton,Newcastle,3,1,H,15,9,S Attwell
Crystal_Palace,Wolves,3,2,H,16,12,R Jones
Liverpool,Aston_Villa,3,0,H,17,9,S Hooper
Arsenal,Man_United,3,1,H,17,10,A Taylor
Wolves,Liverpool,1,3,A,11,16,M Oliver
Aston_Villa,Crystal_Palace,3,1,H,16,6,D England
Fulham,Luton,1,0,H,13,7,M Salisbury
Man_United,Brighton,1,3,A,14,10,J Gillett
Tottenham,Sheffield_United,2,1,H,28,7,P Bankes
West_Ham,Man_City,1,3,A,6,29,A Madley
Newcastle,Brentford,1,0,H,9,11,C Pawson
Bournemouth,Chelsea,0,0,D,13,14,D Coote
Everton,Arsenal,0,1,A,8,13,S Hooper
Nottingham_Forest,Burnley,1,1,D,14,10,R Jones
Crystal_Palace,Fulham,0,0,D,7,10,P Tierney
Luton,Wolves,1,1,D,20,3,J Smith
Man_City,Nottingham_Forest,2,0,H,7,10,A Taylor
Brentford,Everton,1,3,A,12,18,M Oliver
Burnley,Man_United,0,1,A,12,11,T Harrington
Arsenal,Tottenham,2,2,D,13,13,R Jones
Brighton,Bournemouth,3,1,H,13,12,J Brooks
Chelsea,Aston_Villa,0,1,A,10,15,J Gillett
Liverpool,West_Ham,3,1,H,22,11,C Kavanagh
Sheffield_United,Newcastle,0,8,A,9,22,S Attwell
Aston_Villa,Brighton,6,1,H,19,11,A Madley
Bournemouth,Arsenal,0,4,A,8,15,M Salisbury
Everton,Luton,1,2,A,23,9,A Taylor
Man_United,Crystal_Palace,0,1,A,19,8,C Kavanagh
Newcastle,Burnley,2,0,H,20,8,T Bramall
West_Ham,Sheffield_United,2,0,H,20,16,G Scott
Wolves,Man_City,2,1,H,3,23,C Pawson
Tottenham,Liverpool,2,1,H,24,12,S Hooper
Nottingham_Forest,Brentford,1,1,D,6,18,P Tierney
Fulham,Chelsea,0,2,A,10,11,T Robinson
Luton,Burnley,1,2,A,18,14,P Bankes
Luton,Tottenham,0,1,A,12,15,J Brooks
Burnley,Chelsea,1,4,A,10,9,S Attwell
Everton,Bournemouth,3,0,H,25,11,D Coote
Fulham,Sheffield_United,3,1,H,20,5,S Barrott
Man_United,Brentford,2,1,H,21,11,A Madley
Crystal_Palace,Nottingham_Forest,0,0,D,8,16,C Pawson
Brighton,Liverpool,2,2,D,14,14,A Taylor
West_Ham,Newcastle,2,2,D,5,10,P Bankes
Wolves,Aston_Villa,1,1,D,8,18,R Jones
Arsenal,Man_City,1,0,H,12,4,M Oliver
Liverpool,Everton,2,0,H,26,6,C Pawson
Bournemouth,Wolves,1,2,A,7,20,P Tierney
Brentford,Burnley,3,0,H,23,6,J Smith
Man_City,Brighton,2,1,H,10,5,R Jones
Newcastle,Crystal_Palace,4,0,H,10,17,T Robinson
Nottingham_Forest,Luton,2,2,D,19,13,S Barrott
Chelsea,Arsenal,2,2,D,11,13,C Kavanagh
Sheffield_United,Man_United,1,2,A,12,14,M Oliver
Aston_Villa,West_Ham,4,1,H,15,14,D Coote
Tottenham,Fulham,2,0,H,15,10,A Taylor
